,Date,Ticker,Senator,Transaction,Amount,Range
0,2022-09-19,MSFT,"Tuberville, Tommy",Purchase,250001.0,"$250,001 - $500,000"
1,2022-06-17,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
2,2022-02-24,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
3,2022-01-14,MSFT,"Tuberville, Tommy",Sale,15001.0,"$15,001 - $50,000"
4,2021-12-21,MSFT,"Moran, Jerry",Sale,1001.0,"$1,001 - $15,000"
5,2021-12-21,MSFT,"Moran, Jerry",Sale,1001.0,"$1,001 - $15,000"
6,2021-12-17,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
7,2021-11-01,MSFT,"Hickenlooper, John",Sale,250001.0,"$250,001 - $500,000"
8,2021-08-17,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
9,2021-07-26,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
10,2020-09-04,MSFT,"Roberts, Pat",Sale,50001.0,"$50,001 - $100,000"
11,2020-09-03,MSFT,"Roberts, Pat",Purchase,15001.0,"$15,001 - $50,000"
12,2020-08-19,MSFT,"Cassidy, Bill",Sale,1001.0,"$1,001 - $15,000"
13,2020-08-19,MSFT,"Cassidy, Bill",Sale,1001.0,"$1,001 - $15,000"
14,2020-07-31,MSFT,"Wyden, Ron",Purchase,50001.0,"$50,001 - $100,000"
15,2020-07-31,MSFT,"Wyden, Ron",Purchase,50001.0,"$50,001 - $100,000"
16,2020-06-26,MSFT,"Wyden, Ron",Purchase,15001.0,"$15,001 - $50,000"
17,2020-06-24,MSFT,"Wyden, Ron",Purchase,15001.0,"$15,001 - $50,000"
18,2020-06-23,MSFT,"Wyden, Ron",Purchase,15001.0,"$15,001 - $50,000"
19,2020-06-17,MSFT,"Wyden, Ron",Purchase,15001.0,"$15,001 - $50,000"
20,2020-04-29,MSFT,"Roberts, Pat",Purchase,15001.0,"$15,001 - $50,000"
21,2020-04-28,MSFT,"Roberts, Pat",Purchase,15001.0,"$15,001 - $50,000"
22,2020-04-16,MSFT,"Perdue, David",Sale,50001.0,"$50,001 - $100,000"
23,2020-04-16,MSFT,"Perdue, David",Sale,50001.0,"$50,001 - $100,000"
24,2020-04-14,MSFT,"Perdue, David",Sale,15001.0,"$15,001 - $50,000"
25,2020-04-14,MSFT,"Perdue, David",Sale,15001.0,"$15,001 - $50,000"
26,2020-04-13,MSFT,"Inhofe, James M.",Sale,50001.0,"$50,001 - $100,000"
27,2020-04-07,MSFT,"Loeffler, Kelly",Sale,250001.0,"$250,001 - $500,000"
28,2020-04-02,MSFT,"Carper, Thomas R.",Sale,1001.0,"$1,001 - $15,000"
29,2020-03-26,MSFT,"Roberts, Pat",Purchase,1001.0,"$1,001 - $15,000"
30,2020-03-24,MSFT,"Roberts, Pat",Purchase,1001.0,"$1,001 - $15,000"
31,2020-03-19,MSFT,"Loeffler, Kelly",Purchase,15001.0,"$15,001 - $50,000"
32,2020-03-09,MSFT,"Cassidy, Bill",Sale,1001.0,"$1,001 - $15,000"
33,2020-03-03,MSFT,"Capito, Shelley Moore",Purchase,1001.0,"$1,001 - $15,000"
34,2020-02-11,MSFT,"Roberts, Pat",Purchase,15001.0,"$15,001 - $50,000"
35,2019-10-23,MSFT,"Roberts, Pat",Purchase,1001.0,"$1,001 - $15,000"
36,2019-10-15,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
37,2019-09-30,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
38,2019-09-25,MSFT,"Moran, Jerry",Sale,1001.0,"$1,001 - $15,000"
39,2019-06-10,MSFT,"Capito, Shelley Moore",Sale,1001.0,"$1,001 - $15,000"
40,2019-05-28,MSFT,"Coons, Chris",Sale,1001.0,"$1,001 - $15,000"
41,2019-03-25,MSFT,"Perdue, David",Sale,1001.0,"$1,001 - $15,000"
